,Pair,Session,InterlocutorA,InterlocutorB,Shared,Ratio,Cosine
89,Pair21,3a,6.0,12.0,3.0,0.166666666667,0.475651494154
90,Pair22,1,216.0,178.0,112.0,0.284263959391,0.787914051559
91,Pair22,1a,57.0,51.0,25.0,0.231481481481,0.501865034732
92,Pair22,2,227.0,188.0,121.0,0.29156626506,0.882065066968
93,Pair22,2a,19.0,11.0,1.0,0.0333333333333,0.205971460218
94,Pair22,3,190.0,152.0,100.0,0.292397660819,0.686967448456
95,Pair22,3a,61.0,39.0,22.0,0.22,0.626672849068
96,Pair24,1,127.0,89.0,58.0,0.268518518519,0.654283589783
97,Pair24,1a,41.0,43.0,25.0,0.297619047619,0.639203768996
98,Pair24,2,173.0,139.0,96.0,0.307692307692,0.721821368496
99,Pair24,2a,34.0,27.0,9.0,0.147540983607,0.438638514152
100,Pair24,3,168.0,145.0,89.0,0.284345047923,0.849047267645
101,Pair24,3a,11.0,11.0,2.0,0.0909090909091,0.160356745147
102,Pair25,1,145.0,164.0,98.0,0.31715210356,0.836259522964
103,Pair25,1a,92.0,97.0,52.0,0.275132275132,0.766098647487
104,Pair25,2,160.0,162.0,100.0,0.310559006211,0.89220440921
105,Pair25,2a,49.0,47.0,27.0,0.28125,0.64465837122
106,Pair25,3,155.0,151.0,92.0,0.300653594771,0.887306549419
107,Pair25,3a,37.0,39.0,23.0,0.302631578947,0.623498621887
108,Pair26,1,180.0,159.0,101.0,0.297935103245,0.918228060816
109,Pair26,1a,59.0,56.0,27.0,0.234782608696,0.713541944682
110,Pair26,2,139.0,117.0,76.0,0.296875,0.801412887041
111,Pair26,2a,36.0,35.0,21.0,0.295774647887,0.645434471109
112,Pair26,3,203.0,160.0,114.0,0.314049586777,0.841403908013
113,Pair26,3a,38.0,30.0,19.0,0.279411764706,0.439682870963
