Pair ,Subject,Question,Response,Condition
11,1,10,4,Pair
11,1,11,7,Pair
11,1,12,1,Pair
11,1,13,1,Pair
11,1,14,3,Pair
11,2,1,4,Pair
11,2,2,3,Pair
11,2,3,2,Pair
11,2,4,2,Pair
11,2,5,1,Pair
11,2,6,2,Pair
11,2,7,1,Pair
11,2,8,1,Pair
11,2,9,4,Pair
11,2,10,2,Pair
11,2,11,1,Pair
11,2,12,1,Pair
11,2,13,1,Pair
11,2,14,2,Pair
12,1,1,1,Pair
12,1,2,2,Pair
12,1,3,4,Pair
12,1,4,4,Pair
12,1,5,1,Pair
12,1,6,3,Pair
12,1,7,2,Pair
12,1,8,1,Pair
12,1,9,1,Pair
12,1,10,4,Pair
12,1,11,2,Pair
12,1,12,3,Pair
12,1,13,1,Pair
12,1,14,3,Pair
12,2,1,1,Pair
12,2,2,1,Pair
12,2,3,1,Pair
12,2,4,3,Pair
12,2,5,2,Pair
12,2,6,1,Pair
12,2,7,3,Pair
12,2,8,2,Pair
12,2,9,1,Pair
12,2,10,4,Pair
12,2,11,6,Pair
12,2,12,3,Pair
12,2,13,2,Pair
12,2,14,3,Pair
13,1,1,5,Pair
13,1,2,2,Pair
13,1,3,5,Pair
13,1,4,5,Pair
13,1,5,4,Pair
13,1,6,6,Pair
13,1,7,4,Pair
13,1,8,5,Pair
13,1,9,7,Pair
13,1,10,6,Pair
13,1,11,6,Pair
13,1,12,6,Pair
13,1,13,2,Pair
13,1,14,4,Pair
13,2,1,,Pair
13,2,2,,Pair
13,2,3,,Pair
13,2,4,,Pair
13,2,5,,Pair
13,2,6,,Pair
13,2,7,,Pair
13,2,8,,Pair
13,2,9,,Pair
13,2,10,,Pair
13,2,11,,Pair
13,2,12,,Pair
13,2,13,,Pair
13,2,14,,Pair
14,1,1,4,Pair
14,1,2,4,Pair
14,1,3,5,Pair
14,1,4,4,Pair
14,1,5,4,Pair
14,1,6,2,Pair
14,1,7,4,Pair
14,1,8,4,Pair
14,1,9,3,Pair
14,1,10,4,Pair
14,1,11,5,Pair
14,1,12,6,Pair
14,1,13,3,Pair
14,1,14,2,Pair
14,2,1,4,Pair
14,2,2,3,Pair
14,2,3,2,Pair
14,2,4,2,Pair
14,2,5,4,Pair
14,2,6,1,Pair
14,2,7,7,Pair
14,2,8,4,Pair
14,2,9,1,Pair
14,2,10,4,Pair
14,2,11,7,Pair
14,2,12,3,Pair
14,2,13,1,Pair
14,2,14,6,Pair
15,1,1,6,Pair
15,1,2,6,Pair
15,1,3,2,Pair
15,1,4,2,Pair
15,1,5,1,Pair
15,1,6,1,Pair
15,1,7,2,Pair
15,1,8,3,Pair
15,1,9,4,Pair
15,1,10,3,Pair
15,1,11,6,Pair
15,1,12,6,Pair
15,1,13,2,Pair
15,1,14,5,Pair
15,2,1,3,Pair
15,2,2,1,Pair
15,2,3,2,Pair
15,2,4,1,Pair
15,2,5,1,Pair
15,2,6,1,Pair
15,2,7,1,Pair
15,2,8,1,Pair
15,2,9,2,Pair
15,2,10,4,Pair
15,2,11,5,Pair
15,2,12,5,Pair
15,2,13,1,Pair
15,2,14,2,Pair
16,1,1,2,Pair
16,1,2,1,Pair
16,1,3,3,Pair
16,1,4,2,Pair
16,1,5,1,Pair
16,1,6,1,Pair
16,1,7,5,Pair
16,1,8,2,Pair
16,1,9,4,Pair
16,1,10,4,Pair
16,1,11,6,Pair
16,1,12,7,Pair
16,1,13,1,Pair
16,1,14,6,Pair
16,2,1,1,Pair
16,2,2,3,Pair
16,2,3,1,Pair
16,2,4,1,Pair
16,2,5,7,Pair
16,2,6,1,Pair
16,2,7,4,Pair
16,2,8,2,Pair
16,2,9,1,Pair
16,2,10,4,Pair
16,2,11,5,Pair
16,2,12,7,Pair
16,2,13,1,Pair
16,2,14,5,Pair
17,1,1,1,Pair
17,1,2,1,Pair
17,1,3,7,Pair
17,1,4,4,Pair
17,1,5,2,Pair
17,1,6,1,Pair
17,1,7,5,Pair
17,1,8,5,Pair
17,1,9,1,Pair
17,1,10,1,Pair
17,1,11,7,Pair
17,1,12,7,Pair
17,1,13,1,Pair
17,1,14,6,Pair
17,2,1,2,Pair
17,2,2,1,Pair
17,2,3,6,Pair
17,2,4,3,Pair
17,2,5,4,Pair
17,2,6,2,Pair
17,2,7,7,Pair
17,2,8,6,Pair
17,2,9,2,Pair
