Pair,Session,LexicalRateTraining,LexicalLevelTraining,SemanticLevelTraining,LexicalRateTest,LexicalLevelTest,SemanticLevelTest,PerformanceTrainingP,PerformanceTraining,PerformanceTestP,PerformanceTest,PerformanceCycleP,PerformanceCycle,Effort,Motivation
1,1,0.2058943002049619,0.011381665160794321,0.7573909789532092,0.6136215854233559,-0.013120640581652748,1.3894965982408156,0.6478293107625748,0.8541666666666666,-0.9106907487297026,0.25,0.767,1,2,1
1,1,0.2058943002049619,0.011381665160794321,0.7573909789532092,0.6136215854233559,-0.013120640581652748,1.3894965982408156,0.6478293107625748,0.8541666666666666,-0.9106907487297026,0.25,0.767,1,3,1
1,2,0.5856363904275308,0.2660312763063635,1.3989803945211805,0.31302779182639184,-0.15469406104151587,0.5053516242830407,1.5452349980233637,0.8333333333333334,1.2846857641815912,1,0.8085,1,2,1
1,2,0.5856363904275308,0.2660312763063635,1.3989803945211805,0.31302779182639184,-0.15469406104151587,0.5053516242830407,1.5452349980233637,0.8333333333333334,1.2846857641815912,1,0.8085,1,3,1
1,3,0.42434296769131913,-0.20256128926014008,0.9215517120435165,0.03310420082850782,-0.12862989085266713,0.3893393040075972,1.422400979348276,0.71875,1.5793294881609208,1,0.68125,1,2,1
1,3,0.42434296769131913,-0.20256128926014008,0.9215517120435165,0.03310420082850782,-0.12862989085266713,0.3893393040075972,1.422400979348276,0.71875,1.5793294881609208,1,0.68125,1,3,1
10,1,-0.4519240700775928,0.26467356056539987,-1.8529545537528056,-0.3726650895081712,0.02096370905266224,-1.8468768009000465,-1.0274562843609993,0.65625,0.17379835670467983,0.625,0.7145,1,2,2
10,1,-0.4519240700775928,0.26467356056539987,-1.8529545537528056,-0.3726650895081712,0.02096370905266224,-1.8468768009000465,-1.0274562843609993,0.65625,0.17379835670467983,0.625,0.7145,1,2,1
10,2,-0.7436943920684245,0.31694934246549694,-2.340348768075354,-0.43096309873410177,0.40025762505095674,-1.8661443660570258,-0.5885458665279685,0.5625,0.7285080583819566,0.875,0.49225,0,2,2
10,2,-0.7436943920684245,0.31694934246549694,-2.340348768075354,-0.43096309873410177,0.40025762505095674,-1.8661443660570258,-0.5885458665279685,0.5625,0.7285080583819566,0.875,0.49225,0,2,1
10,3,-0.5800513783310005,0.6338928705298307,-2.1222244889591106,-0.17930734526563882,1.3482188302699427,0.50487065547168,-0.31676142307707983,0.5625,0.8340325020376447,0.75,0.5655,0,2,2
