Pair,Session,LexicalRateTraining,LexicalLevelTraining,SemanticLevelTraining,LexicalRateTest,LexicalLevelTest,SemanticLevelTest,PerformanceTrainingP,PerformanceTraining,PerformanceTestP,PerformanceTest,PerformanceCycleP,PerformanceCycle,Effort,Motivation
1,1,0.2058943002049619,0.011381665160794321,0.7573909789532092,0.6136215854233559,-0.013120640581652748,1.3894965982408158,0.5566240235583639,0.8541666666666666,-0.7838645140563358,0.25,0.5475632284082611,1,2,1
1,1,0.2058943002049619,0.011381665160794321,0.7573909789532092,0.6136215854233559,-0.013120640581652748,1.3894965982408158,0.5566240235583639,0.8541666666666666,-0.7838645140563358,0.25,0.5475632284082611,1,3,1
1,2,0.5856363904275308,0.2660312763063635,1.3989803945211805,0.31302779182639184,-0.15469406104151587,0.5053516242830407,1.5567576636393736,0.8333333333333334,0.7449220307445911,1,0.5510484016714807,1,2,1
1,2,0.5856363904275308,0.2660312763063635,1.3989803945211805,0.31302779182639184,-0.15469406104151587,0.5053516242830407,1.5567576636393736,0.8333333333333334,0.7449220307445911,1,0.5510484016714807,1,3,1
1,3,0.42434296769131913,-0.20256128926014008,0.9215517120435165,0.03310420082850782,-0.12862989085266713,0.3893393040075972,1.452112423879925,0.71875,1.5988335601043062,1,0.5372427550195006,1,2,1
1,3,0.42434296769131913,-0.20256128926014008,0.9215517120435165,0.03310420082850782,-0.12862989085266713,0.3893393040075972,1.452112423879925,0.71875,1.5988335601043062,1,0.5372427550195006,1,3,1
10,1,-0.4519240700775928,0.26467356056539987,-1.8529545537528056,-0.3726650895081712,0.02096370905266224,-1.8468768009000467,-0.667724768822616,0.65625,0.4151590919384876,0.625,0.5394728749956739,1,2,2
10,1,-0.4519240700775928,0.26467356056539987,-1.8529545537528056,-0.3726650895081712,0.02096370905266224,-1.8468768009000467,-0.667724768822616,0.65625,0.4151590919384876,0.625,0.5394728749956739,1,2,1
10,2,-0.7436943920684245,0.31694934246549694,-2.340348768075354,-0.43096309873410177,0.40025762505095674,-1.8661443660570258,-0.5615556418168588,0.5625,0.58528943641317,0.875,0.4983800636633787,0,2,2
10,2,-0.7436943920684245,0.31694934246549694,-2.340348768075354,-0.43096309873410177,0.40025762505095674,-1.8661443660570258,-0.5615556418168588,0.5625,0.58528943641317,0.875,0.4983800636633787,0,2,1
10,3,-0.5800513783310005,0.6338928705298307,-2.1222244889591106,-0.17930734526563882,1.3482188302699427,0.50487065547168,-0.21039385567433017,0.5625,0.7608505993856446,0.75,0.5170325196684077,0,2,2
10,3,-0.5800513783310005,0.6338928705298307,-2.1222244889591106,-0.17930734526563882,1.3482188302699427,0.50487065547168,-0.21039385567433017,0.5625,0.7608505993856446,0.75,0.5170325196684077,0,2,1
11,1,0.6067868102187419,0.8876869563217444,1.37491865272262,0.5488026860831922,0.114826453518151,1.7317342342721966,0.43984225003824834,0.8125,-1.1397874686383844,0.375,0.5308932870203433,0,6,2
11,1,0.6067868102187419,0.8876869563217444,1.37491865272262,0.5488026860831922,0.114826453518151,1.7317342342721966,0.43984225003824834,0.8125,-1.1397874686383844,0.375,0.5308932870203433,0,2,2
11,2,0.36174880614181293,0.8667349540037126,1.24114838458606,0.9129082622757164,0.5529863107150779,2.0281184793795832,1.6533016124406825,0.7604166666666666,-0.6304985783918441,0.375,0.542231861388495,0,6,2
11,2,0.36174880614181293,0.8667349540037126,1.24114838458606,0.9129082622757164,0.5529863107150779,2.0281184793795832,1.6533016124406825,0.7604166666666666,-0.6304985783918441,0.375,0.542231861388495,0,2,2
11,3,0.45098820012366575,0.556955374287784,1.3176796975061726,-0.06752736013914033,0.7330239679544569,0.5350961231271023,1.6449884468494886,0.84375,-0.37665530954161225,0.625,0.5444322981045433,1,6,2
11,3,0.45098820012366575,0.556955374287784,1.3176796975061726,-0.06752736013914033,0.7330239679544569,0.5350961231271023,1.6449884468494886,0.84375,-0.37665530954161225,0.625,0.5444322981045433,1,2,2
12,1,0.43500576210259195,-0.25978918158116704,0.6046713561221799,0.5264478758969418,-0.029411988396499552,0.7733222321025223,-0.6831900581954332,0.65625,0.8663182402035519,0.875,0.49406789726936945,1,1,3
12,1,0.43500576210259195,-0.25978918158116704,0.6046713561221799,0.5264478758969418,-0.029411988396499552,0.7733222321025223,-0.6831900581954332,0.65625,0.8663182402035519,0.875,0.49406789726936945,1,4,4
12,2,0.40530515409034445,-0.17819493720108148,0.7373135636726533,0.42995837998000763,-0.017619935422895097,0.7078069342203193,0.26120724278520185,0.6041666666666666,0.2627156373976375,0.75,0.5155299937931144,1,1,3
12,2,0.40530515409034445,-0.17819493720108148,0.7373135636726533,0.42995837998000763,-0.017619935422895097,0.7078069342203193,0.26120724278520185,0.6041666666666666,0.2627156373976375,0.75,0.5155299937931144,1,4,4
12,3,0.3840874869111565,-0.08892676296901927,0.37405295646298387,0.11559607830906554,0.16543574973972366,0.38517542123804394,0.4898384957958624,0.65625,0.06505858083792855,0.5,0.5110421464862723,1,1,3
12,3,0.3840874869111565,-0.08892676296901927,0.37405295646298387,0.11559607830906554,0.16543574973972366,0.38517542123804394,0.4898384957958624,0.65625,0.06505858083792855,0.5,0.5110421464862723,1,4,4
13,1,-0.2826379596827404,-0.30448830455973924,-0.66731454796984635,-0.46019653126447435,-0.028888553797152505,0.11820319691242691,NA,NA,NA,NA,NA,NA,5,5
13,1,-0.2826379596827404,-0.30448830455973924,-0.66731454796984635,-0.46019653126447435,-0.028888553797152505,0.11820319691242691,NA,NA,NA,NA,NA,NA,NA,NA
13,2,0.17191399262725213,-0.28909170401338,0.7053133304029384,-0.22492826541010158,-0.11982407389285135,-0.5044910213531042,NA,NA,NA,NA,NA,NA,5,5
13,2,0.17191399262725213,-0.28909170401338,0.7053133304029384,-0.22492826541010158,-0.11982407389285135,-0.5044910213531042,NA,NA,NA,NA,NA,NA,NA,NA
13,3,-0.06788844071175312,-0.21858580533445507,0.3027625329314709,-0.013597353298579697,-0.301838777397357,-0.9221756137154394,NA,NA,NA,NA,NA,NA,5,5
13,3,-0.06788844071175312,-0.21858580533445507,0.3027625329314709,-0.013597353298579697,-0.301838777397357,-0.9221756137154394,NA,NA,NA,NA,NA,NA,NA,NA
14,1,0.0838676525554224,0.6157714834716732,0.6927348765717842,-0.27131231381881604,0.018233152609674248,-1.0362605162597887,0.5542039974208102,0.8645833333333334,0.911207834157748,0.875,0.5371671551151896,0,2,2
14,1,0.0838676525554224,0.6157714834716732,0.6927348765717842,-0.27131231381881604,0.018233152609674248,-1.0362605162597887,0.5542039974208102,0.8645833333333334,0.911207834157748,0.875,0.5371671551151896,0,5,4
14,2,0.3019306078706205,-0.14140030138424528,0.6718363599022752,-0.1588360491058295,-0.2782745888538046,-0.9620836135841448,-0.38080942847573146,0.6041666666666666,0.5835342083591561,0.875,0.5418781881999097,1,2,2
14,2,0.3019306078706205,-0.14140030138424528,0.6718363599022752,-0.1588360491058295,-0.2782745888538046,-0.9620836135841448,-0.38080942847573146,0.6041666666666666,0.5835342083591561,0.875,0.5418781881999097,1,5,4
14,3,0.08615677774946669,-0.09367930456513583,0.48641235754849593,-0.2647509837305749,-0.05511428189216136,-1.0133024147764194,-0.6417195122148424,0.4895833333333333,0.5598876080214878,0.625,0.49614496650704376,0,2,2
14,3,0.08615677774946669,-0.09367930456513583,0.48641235754849593,-0.2647509837305749,-0.05511428189216136,-1.0133024147764194,-0.6417195122148424,0.4895833333333333,0.5598876080214878,0.625,0.49614496650704376,0,5,4
15,1,NA,NA,NA,NA,NA,NA,0.5587012007076393,0.875,0.9536487094032183,0.875,0.5498694682113703,0,2,1
15,1,NA,NA,NA,NA,NA,NA,0.5587012007076393,0.875,0.9536487094032183,0.875,0.5498694682113703,0,2,2
15,2,NA,NA,NA,NA,NA,NA,1.738022068411644,0.8645833333333334,1.5446100760126855,1,0.550894124411616,1,2,1
15,2,NA,NA,NA,NA,NA,NA,1.738022068411644,0.8645833333333334,1.5446100760126855,1,0.550894124411616,1,2,2
15,3,NA,NA,NA,NA,NA,NA,1.800245889331398,0.84375,1.5359523799038324,1,0.5517875469747501,1,2,1
15,3,NA,NA,NA,NA,NA,NA,1.800245889331398,0.84375,1.5359523799038324,1,0.5517875469747501,1,2,2
16,1,-0.126467082624525,-0.27140521593323963,-0.2090179923631989,0.07045745792549361,-0.005762895630789839,0.21646447164263063,0.4888892936261457,0.8229166666666666,0.9441219804252992,1,0.5206267364451416,0,3,2
16,1,-0.126467082624525,-0.27140521593323963,-0.2090179923631989,0.07045745792549361,-0.005762895630789839,0.21646447164263063,0.4888892936261457,0.8229166666666666,0.9441219804252992,1,0.5206267364451416,0,1,1
16,2,-0.07489860895379838,-0.20424300292882488,0.009119345759111152,-0.15484384248448985,-0.11619116019478468,0.04801054104667814,0.27623781681733306,0.6875,0.5499709352366969,0.625,0.45226781106335456,0,3,2
16,2,-0.07489860895379838,-0.20424300292882488,0.009119345759111152,-0.15484384248448985,-0.11619116019478468,0.04801054104667814,0.27623781681733306,0.6875,0.5499709352366969,0.625,0.45226781106335456,0,1,1
16,3,0.014410251446652712,-0.30836095640728745,0.03616612636728424,0.022130149955888398,-0.478860836139922,-0.18669082043526358,0.13270181931294206,0.5416666666666666,0.4836832887780702,0.75,0.5338129942425068,1,3,2
16,3,0.014410251446652712,-0.30836095640728745,0.03616612636728424,0.022130149955888398,-0.478860836139922,-0.18669082043526358,0.13270181931294206,0.5416666666666666,0.4836832887780702,0.75,0.5338129942425068,1,1,1
17,1,-0.10031485966300621,0.26415835137122506,0.053853402244059115,-0.3203290160352025,0.03699594596942081,-0.8291198873408192,0.4677806662832055,0.8333333333333334,0.574538155139477,0.75,0.544841228074106,1,7,4
17,1,-0.10031485966300621,0.26415835137122506,0.053853402244059115,-0.3203290160352025,0.03699594596942081,-0.8291198873408192,0.4677806662832055,0.8333333333333334,0.574538155139477,0.75,0.544841228074106,1,6,3
17,2,-0.6702870523904303,0.34523573346564773,-1.2229095871403888,0.16134142959871006,0.6651840058178408,0.19338579687048743,-1.1769643924371902,0.4895833333333333,0.1919186099183502,0.625,0.44419308172353317,0,7,4
17,2,-0.6702870523904303,0.34523573346564773,-1.2229095871403888,0.16134142959871006,0.6651840058178408,0.19338579687048743,-1.1769643924371902,0.4895833333333333,0.1919186099183502,0.625,0.44419308172353317,0,6,3
17,3,-0.5226751084843647,1.369169456065456,-0.9549866731994143,-0.07938282540159051,1.6050454818452913,0.7588090697297166,-1.1900840557448316,0.4895833333333333,0.1577379845992288,0.625,0.4622616934868429,0,7,4
17,3,-0.5226751084843647,1.369169456065456,-0.9549866731994143,-0.07938282540159051,1.6050454818452913,0.7588090697297166,-1.1900840557448316,0.4895833333333333,0.1577379845992288,0.625,0.4622616934868429,0,6,3
18,1,0.2759204127273707,0.05495966032176828,0.779569758355064,0.1438461996373273,-0.0039826197085542575,-0.13234310344259567,0.563598857940362,0.8645833333333334,0.9529453141474261,1,0.5477280824398862,1,5,4
18,1,0.2759204127273707,0.05495966032176828,0.779569758355064,0.1438461996373273,-0.0039826197085542575,-0.13234310344259567,0.563598857940362,0.8645833333333334,0.9529453141474261,1,0.5477280824398862,1,3,4
18,2,0.39143913436014843,-0.21215959606110077,0.5520220238346337,-0.25557933819111084,0.2071400490991288,-0.2544572791045779,-0.1283956105556811,0.6979166666666666,0.19474252513883736,0.625,0.5507152932741537,1,5,4
18,2,0.39143913436014843,-0.21215959606110077,0.5520220238346337,-0.25557933819111084,0.2071400490991288,-0.2544572791045779,-0.1283956105556811,0.6979166666666666,0.19474252513883736,0.625,0.5507152932741537,1,3,4
18,3,0.09300428944531575,0.07885711537272208,0.5997467118340666,-0.16266598902100365,-0.1025398947133618,-0.639021501365165,-0.42185374485087035,0.4479166666666667,-0.17290467092264042,0.5,0.4665954891057614,0,5,4
18,3,0.09300428944531575,0.07885711537272208,0.5997467118340666,-0.16266598902100365,-0.1025398947133618,-0.639021501365165,-0.42185374485087035,0.4479166666666667,-0.17290467092264042,0.5,0.4665954891057614,0,3,4
19,1,0.09089946739808288,-0.0978782655159538,-0.04060315349199701,0.08366195418672752,-0.0378820670719432,0.20665925329294008,-0.0701186253402532,0.7083333333333334,0.19650277833165383,0.625,0.525747296148891,1,6,1
19,1,0.09089946739808288,-0.0978782655159538,-0.04060315349199701,0.08366195418672752,-0.0378820670719432,0.20665925329294008,-0.0701186253402532,0.7083333333333334,0.19650277833165383,0.625,0.525747296148891,1,2,3
19,2,0.052631043991803905,-0.07495604188123031,-0.013781300215195589,0.2732768238872752,-0.1812533133815463,0.18451769949616192,-0.41135564438999545,0.6770833333333334,-0.49226854711744206,0.625,0.532480408495694,0,6,1
19,2,0.052631043991803905,-0.07495604188123031,-0.013781300215195589,0.2732768238872752,-0.1812533133815463,0.18451769949616192,-0.41135564438999545,0.6770833333333334,-0.49226854711744206,0.625,0.532480408495694,0,2,3
19,3,0.054692134757426764,-0.08351997904932015,0.006706706639636435,0.12493681526678192,-0.31051863939596874,-0.46858033324047665,-0.24440453503304627,0.46875,-0.5941273582677636,0.375,0.4998905654224684,0,6,1
19,3,0.054692134757426764,-0.08351997904932015,0.006706706639636435,0.12493681526678192,-0.31051863939596874,-0.46858033324047665,-0.24440453503304627,0.46875,-0.5941273582677636,0.375,0.4998905654224684,0,2,3
2,1,-0.007927685239683612,0.1456623659713609,0.14495633912728642,0.16869068168182305,-0.02981981008979081,0.7830576395825118,0.5196527030972086,0.9166666666666666,-0.7080864603320518,0.5,0.5515328943357587,1,6,2
2,1,-0.007927685239683612,0.1456623659713609,0.14495633912728642,0.16869068168182305,-0.02981981008979081,0.7830576395825118,0.5196527030972086,0.9166666666666666,-0.7080864603320518,0.5,0.5515328943357587,1,6,4
2,2,0.389904078481661,-0.23888734333375086,0.6094370267699257,0.26654747351624386,-0.3417991692581008,0.6887996156763267,0.5675720740634022,0.6458333333333334,-1.169448987279856,0.25,0.5414535464289811,0,6,2
2,2,0.389904078481661,-0.23888734333375086,0.6094370267699257,0.26654747351624386,-0.3417991692581008,0.6887996156763267,0.5675720740634022,0.6458333333333334,-1.169448987279856,0.25,0.5414535464289811,0,6,4
2,3,0.21876637851913205,-0.23061379086031544,0.26233579206473884,0.11810750949951075,-0.48760960255835173,0.7632151972988755,0.14765188087674846,0.59375,-1.1456191488121694,0.5,0.5422956063514252,1,6,2
2,3,0.21876637851913205,-0.23061379086031544,0.26233579206473884,0.11810750949951075,-0.48760960255835173,0.7632151972988755,0.14765188087674846,0.59375,-1.1456191488121694,0.5,0.5422956063514252,1,6,4
20,1,-0.2911168595379001,-0.4588870422980023,-0.5368904248945678,-0.15757949696667906,-0.03336119799406631,-0.9474967024932619,-0.5119297441353532,0.65625,-1.168443235498153,0.375,0.4890737920166772,1,2,6
20,1,-0.2911168595379001,-0.4588870422980023,-0.5368904248945678,-0.15757949696667906,-0.03336119799406631,-0.9474967024932619,-0.5119297441353532,0.65625,-1.168443235498153,0.375,0.4890737920166772,1,1,1
20,2,-0.2600597644415102,-0.09619559792061277,-0.20830004867463822,-0.34834438047365246,-0.24458536819473584,-1.3101242351713076,0.024437900759765204,0.6979166666666666,-1.3668805230204737,0.375,0.5506695441711574,1,2,6
20,2,-0.2600597644415102,-0.09619559792061277,-0.20830004867463822,-0.34834438047365246,-0.24458536819473584,-1.3101242351713076,0.024437900759765204,0.6979166666666666,-1.3668805230204737,0.375,0.5506695441711574,1,1,1
20,3,0.13840892366642835,-0.5253134874159868,0.09107807989825348,-0.12171650337247729,-0.5487135619201731,-0.9872912983556842,0.23021279679561457,0.53125,-1.3186902106141976,0.375,0.545763314410769,1,2,6
