subject,condition,session,Accuracy1,Accuracy2
36,Dyads,3,0.5499947916666666,0.5729166666666666
37,Dyads,1,0.634765625,0.59375
37,Dyads,2,0.677671875,0.7708333333333334
37,Dyads,3,0.6102682291666667,0.5416666666666666
38,Dyads,1,0.7452942708333333,0.7291666666666666
38,Dyads,2,0.63665625,0.6979166666666666
38,Dyads,3,0.5336822916666667,0.4791666666666667
39,Dyads,1,0.8117083333333334,0.8125
39,Dyads,2,0.6128463541666667,0.6354166666666666
39,Dyads,3,0.48269791666666667,0.4583333333333333
40,Dyads,1,0.66565625,0.65625
40,Dyads,2,0.6127942708333334,0.5625
40,Dyads,3,0.5220338541666667,0.5625
41,Dyads,1,0.8031744791666666,0.8125
41,Dyads,2,0.821703125,0.7604166666666666
41,Dyads,3,0.772359375,0.84375
42,Dyads,1,0.6646276041666667,0.65625
42,Dyads,2,0.6688385416666667,0.6041666666666666
42,Dyads,3,0.5948203125,0.65625
44,Dyads,1,0.847015625,0.8645833333333334
44,Dyads,2,0.6237369791666667,0.6041666666666666
44,Dyads,3,0.4825963541666667,0.4895833333333333
45,Dyads,1,0.8646119791666667,0.875
45,Dyads,2,0.8635911458333333,0.8645833333333334
45,Dyads,3,0.8171927083333334,0.84375
46,Dyads,1,0.81884375,0.8229166666666666
46,Dyads,2,0.6722473958333334,0.6875
46,Dyads,3,0.5569505208333333,0.5416666666666666
47,Dyads,1,0.8123776041666667,0.8333333333333334
47,Dyads,2,0.5721848958333333,0.4895833333333333
47,Dyads,3,0.4358984375,0.4895833333333333
48,Dyads,1,0.858265625,0.8645833333333334
48,Dyads,2,0.641734375,0.6979166666666666
48,Dyads,3,0.5037369791666667,0.4479166666666667
49,Dyads,1,0.7268307291666667,0.7083333333333334
49,Dyads,2,0.620703125,0.6770833333333334
49,Dyads,3,0.5174036458333333,0.46875
50,Dyads,1,0.6807734375,0.65625
50,Dyads,2,0.6507734375,0.6979166666666666
50,Dyads,3,0.5674192708333333,0.53125
51,Dyads,1,0.6469166666666667,0.6145833333333334
51,Dyads,2,0.575,0.6458333333333334
51,Dyads,3,0.4805130208333333,0.4166666666666667
52,Dyads,1,0.43624739583333333,0.3854166666666667
52,Dyads,2,0.6073880208333333,0.6145833333333334
52,Dyads,3,0.5627369791666667,0.5625
53,Dyads,1,0.8918359375,0.9375
53,Dyads,2,0.49373958333333334,0.40625
53,Dyads,3,0.31916927083333335,0.3645833333333333
54,Dyads,1,0.9084869791666667,0.9270833333333334
54,Dyads,2,0.694421875,0.7708333333333334
54,Dyads,3,0.5496536458333333,0.4791666666666667
55,Dyads,1,0.830125,0.84375
55,Dyads,2,0.6027135416666667,0.5833333333333334
55,Dyads,3,0.46559375,0.46875
56,Dyads,1,0.7871640625,0.7708333333333334
56,Dyads,2,0.8757135416666667,0.9270833333333334
56,Dyads,3,0.8528229166666667,0.84375
