Pair,Session,Test,InterlocutorA,InterlocutorB,Shared,Ratio,Cosine,TokenRatio
4,2,1,57,56,33,0.292035398,0.881154394,1.083955224
4,3,0,155,142,101,0.34006734,0.962605043,1.068233683
4,3,1,19,18,8,0.216216216,0.43643578,1.142857143
5,1,0,157,124,92,0.327402135,0.895376627,1.444533121
5,1,1,84,71,34,0.219354839,0.746475423,1.233160622
5,2,0,212,177,112,0.287917738,0.908751268,1.182028093
5,2,1,62,59,34,0.280991736,0.598122928,1.322701689
5,3,0,196,163,104,0.289693593,0.862251611,1.196800674
5,3,1,62,40,20,0.196078431,0.519835423,1.744107744
6,1,0,172,172,109,0.316860465,0.952394928,1.194734552
6,1,1,97,106,56,0.275862069,0.856917072,1.057324841
6,2,0,166,168,101,0.30239521,0.96757638,1.123830826
6,2,1,57,52,30,0.275229358,0.786341392,1.300194932
6,3,0,155,132,91,0.317073171,0.93143669,1.240437158
6,3,1,43,29,22,0.305555556,0.872996091,1.968627451
7,1,0,337,268,192,0.317355372,0.950900319,1.005664519
7,1,1,112,88,56,0.28,0.80582895,1.022137405
7,2,0,229,165,121,0.307106599,0.910785882,1.192748902
7,2,1,62,51,30,0.265486726,0.60155168,1.160493827
7,3,0,210,171,126,0.330708661,0.947528131,1.276860791
7,3,1,20,24,11,0.25,0.525696378,1
8,1,0,113,110,71,0.31838565,0.789147546,1.024592684
8,1,1,42,48,23,0.255555556,0.596745598,1.501340483
8,2,0,98,87,52,0.281081081,0.726140408,1.110753676
8,2,1,22,36,15,0.25862069,0.454794027,1.883561644
8,3,0,66,103,45,0.266272189,0.706963145,1.352480418
8,3,1,24,22,10,0.217391304,0.560837478,1.100591716
