Pair,Session,Test,InterlocutorA,InterlocutorB,Shared,Ratio,Cosine,TokenRatio
4,2,1,64,65,36,0.279069767,0.829646491,1.076492537
4,3,0,197,185,126,0.329842932,0.952172918,1.051126126
4,3,1,19,18,7,0.189189189,0.400066132,1.086419753
5,1,0,192,151,104,0.303206997,0.870609091,1.455232789
5,1,1,96,80,40,0.227272727,0.670812334,1.238961039
5,2,0,258,219,137,0.28721174,0.893146744,1.18269962
5,2,1,72,60,32,0.242424242,0.526480098,1.296296296
5,3,0,225,192,119,0.285371703,0.815802878,1.219745223
5,3,1,68,41,17,0.155963303,0.480209239,1.797909408
6,1,0,195,204,118,0.295739348,0.944358618,1.188282648
6,1,1,110,118,59,0.25877193,0.853002703,1.053191489
6,2,0,192,198,111,0.284615385,0.953287426,1.124266555
6,2,1,61,57,27,0.228813559,0.734459797,1.33266129
6,3,0,189,164,108,0.305949008,0.905904794,1.227517792
6,3,1,51,33,22,0.261904762,0.824473388,2.028806584
7,1,0,425,349,234,0.302325581,0.95591152,1.008368495
7,1,1,134,104,60,0.25210084,0.768789564,1.044969512
7,2,0,283,201,143,0.295454545,0.909070619,1.209899305
7,2,1,70,53,28,0.227642276,0.606439192,1.171497585
7,3,0,263,210,147,0.310782241,0.922953537,1.287579667
7,3,1,22,26,9,0.1875,0.48040803,1.007575758
8,1,0,119,118,74,0.312236287,0.768739845,1.003833677
8,1,1,43,49,23,0.25,0.627142963,1.454308094
8,2,0,101,93,53,0.273195876,0.764773481,1.103975535
8,2,1,23,37,16,0.266666667,0.492154566,1.796178344
8,3,0,68,110,46,0.258426966,0.725439696,1.396049896
8,3,1,25,23,10,0.208333333,0.513877396,1.066298343
